Provider,PotentialFraud,TotalClaimAmtReimbursed,TotalDeductibleAmtPaid,TotalIPAnnualReimbursementAmt,TotalOPAnnualReimbursementAmt,NumClaims,NumUniqueBeneficiaries,AvgClaimDuration,NumUniqueDiagnosisCodes,NumUniqueProcedureCodes
PRV51149,1,1120680,123958.0,2151060,408460,148,136,4.6891891891891895,476,61
PRV51151,0,201300,23298.0,1242940,606380,233,225,1.6952789699570816,451,12
PRV51152,0,25770,500.0,382460,189080,83,39,1.7228915662650603,179,0
PRV51153,0,71490,4902.0,622840,143540,87,83,1.4022988505747127,188,5
PRV51154,0,45750,790.0,550730,336410,161,147,1.3229813664596273,297,0
PRV51155,0,26330,160.0,532310,197110,115,110,1.0434782608695652,212,0
PRV51156,0,140640,1720.0,2576860,1274980,542,425,1.367158671586716,742,0
PRV51159,1,797790,70450.0,3180110,1225260,569,506,1.7398945518453428,860,35
PRV51160,0,872020,96140.0,1630980,209630,114,110,4.87719298245614,403,51
PRV51164,0,556980,44548.0,2214490,983600,391,334,1.659846547314578,660,23
PRV51165,0,329700,28088.0,647350,229360,98,97,2.4489795918367347,281,21
PRV51166,0,24870,1068.0,36000,13010,5,5,3.2,17,1
PRV51167,0,51980,410.0,862950,351020,190,182,1.7421052631578948,348,0
PRV51168,0,80470,9782.0,432440,196370,87,86,0.7701149425287356,188,6
PRV51169,0,19380,50.0,269270,243630,77,74,1.4935064935064934,163,0
PRV51170,1,145820,8544.0,234710,20890,16,16,3.125,70,8
PRV51171,0,13820,200.0,324870,141910,59,59,1.576271186440678,129,0
PRV51173,1,96290,7676.0,202300,92030,22,21,4.318181818181818,78,8
PRV51175,0,9650,90.0,156800,73720,41,39,0.6585365853658537,94,0
PRV51176,0,145980,870.0,2117870,1278620,445,399,2.0651685393258425,637,0
PRV51178,1,431180,36602.0,853140,179210,65,64,4.523076923076923,239,24
PRV51179,0,5000,0.0,203020,74800,26,26,0.8076923076923077,76,0
PRV51180,0,94240,2416.0,405750,298540,129,86,1.6124031007751938,273,1
PRV51181,0,2150,0.0,112940,17530,10,10,2.6,18,0
PRV51183,0,355790,42790.0,980580,255550,113,105,2.504424778761062,321,22
PRV51185,0,1590,0.0,14440,11850,8,8,0.0,16,0
PRV51186,0,100,0.0,0,280,2,2,0.0,7,0
PRV51189,0,8740,240.0,243180,90770,56,51,0.6071428571428571,122,0
PRV51190,0,39310,3534.0,194900,130760,66,64,0.6060606060606061,133,2
PRV51191,0,10990,90.0,106260,87600,32,30,3.15625,83,0
PRV51194,0,18540,2136.0,32040,10220,9,9,0.6666666666666666,29,1
PRV51196,0,197060,1750.0,2642620,1570910,720,432,1.4027777777777777,911,0
PRV51198,0,360,30.0,14170,3770,6,3,0.0,10,0
PRV51200,0,4420,0.0,50400,30000,19,16,1.5789473684210527,49,0
PRV51201,0,10660,50.0,316540,116720,45,41,0.9777777777777777,104,0
PRV51202,0,5010,0.0,60030,87590,12,12,3.6666666666666665,22,0
PRV51203,0,15340,80.0,85800,66670,21,20,1.2380952380952381,45,0
PRV51204,0,155180,600.0,2409350,1217280,499,398,1.6673346693386772,684,0
PRV51205,0,4660,70.0,40000,30350,10,10,2.0,29,0
PRV51206,0,1560,0.0,139620,18570,10,10,0.6,20,0
PRV51207,0,51000,3204.0,142480,1750,3,3,14.0,23,3
PRV51209,0,9910,170.0,137950,92950,42,38,0.8333333333333334,91,0
PRV51210,0,2890,0.0,12160,19890,9,9,0.0,17,0
PRV51211,0,100,0.0,0,2780,2,2,0.0,4,0
PRV51212,0,6260,70.0,100500,35130,15,15,1.9333333333333333,48,0
PRV51213,0,50,0.0,0,2280,2,2,0.0,4,0
PRV51214,0,3200,0.0,52030,12620,8,8,0.75,28,0
PRV51215,0,1610,0.0,54200,37850,10,10,0.7,23,0
PRV51216,0,15560,570.0,282470,245750,71,66,1.8309859154929577,136,0
PRV51217,0,2930,0.0,0,27970,5,5,4.0,11,0
PRV51218,0,520,0.0,4100,3580,7,7,0.0,16,0
PRV51219,0,5330,0.0,3120,11880,8,8,2.5,16,0
PRV51221,0,70,0.0,0,240,1,1,0.0,1,0
PRV51222,0,860,0.0,123000,9410,5,3,0.0,11,0
PRV51224,0,3130,0.0,19800,11980,7,7,0.0,13,0
PRV51225,0,1190,0.0,36240,8890,8,8,0.0,18,0
PRV51226,0,7430,270.0,20400,31510,20,19,1.0,46,0
PRV51228,0,430,70.0,51240,2280,5,5,0.0,18,0
PRV51229,0,12410,110.0,115570,57930,47,44,1.2127659574468086,91,0
PRV51230,0,12490,0.0,230940,69230,30,30,1.0,65,0
PRV51231,0,16000,2136.0,56000,3790,2,2,9.5,15,3
PRV51232,0,26000,1068.0,38360,3990,1,1,9.0,9,1
PRV51233,0,27000,3204.0,38020,1870,3,3,4.333333333333333,17,2
PRV51234,0,29000,5340.0,54010,4250,5,5,8.2,37,6
PRV51235,0,10000,2136.0,62800,440,2,2,2.5,12,1
PRV51236,0,12000,1068.0,12100,150,1,1,1.0,6,0
PRV51237,0,19000,1068.0,32000,17640,1,1,1.0,4,1
PRV51238,0,132000,4272.0,228600,11080,8,8,13.625,64,5
PRV51239,0,5000,1068.0,5000,0,1,1,3.0,9,0
PRV51240,0,94020,11788.0,328100,135680,60,38,2.95,170,8
PRV51241,0,90210,9772.0,408320,84380,60,47,1.8166666666666667,152,5
PRV51242,1,117200,11100.0,651120,302510,111,87,1.5855855855855856,252,8
PRV51243,0,6330,270.0,72000,54580,36,15,0.6666666666666666,69,0
PRV51244,1,2153990,211918.0,8228970,2844860,1415,659,1.9201413427561838,1609,79
PRV51245,0,83630,3894.0,787060,868810,173,58,1.5260115606936415,319,3
PRV51247,0,76240,9722.0,174340,47640,34,26,2.264705882352941,126,6
PRV51248,0,23500,1068.0,59080,1100,2,2,3.0,12,1
PRV51249,1,521330,51474.0,1168210,187330,126,101,3.5476190476190474,372,25
PRV51250,0,22560,280.0,398140,183360,85,71,1.2352941176470589,164,0
PRV51251,0,3590,0.0,66940,17830,11,10,3.8181818181818183,43,0
PRV51252,0,154930,18356.0,478410,135050,87,76,1.7586206896551724,236,10
PRV51253,0,21740,300.0,453670,206360,85,76,1.0235294117647058,181,0
PRV51255,0,40570,2196.0,497820,223640,74,62,2.2837837837837838,156,2
PRV51256,0,38550,0.0,416010,185810,95,80,1.7473684210526317,191,0
PRV51258,0,99660,8744.0,126940,19890,14,12,4.142857142857143,72,6
PRV51259,0,151960,4272.0,396480,84110,21,19,2.142857142857143,52,4
PRV51260,0,92390,3204.0,339570,200930,62,55,2.629032258064516,129,2
PRV51261,0,270170,27120.0,1231230,374130,142,123,2.6338028169014085,319,20
PRV51262,0,16270,40.0,314450,130420,60,52,1.2666666666666666,123,0
PRV51263,1,218170,19294.0,408480,58670,44,37,4.75,163,11
PRV51264,0,5270,120.0,77550,69930,39,35,0.6153846153846154,74,0
PRV51265,0,45770,750.0,562250,355100,160,84,1.58125,330,1
PRV51266,0,102900,9762.0,332470,169380,92,82,1.6630434782608696,230,4
PRV51267,0,12870,2166.0,94160,12740,14,14,0.42857142857142855,51,2
PRV51271,0,43180,2336.0,418670,224040,123,90,0.8130081300813008,237,0
PRV51272,0,50760,2756.0,304050,179780,79,31,2.0253164556962027,191,0
PRV51273,0,131340,1400.0,2457640,1022440,553,387,1.2513562386980108,740,0
PRV51274,0,175720,10740.0,372250,77530,58,48,1.4827586206896552,158,6
PRV51276,0,133980,15272.0,466230,104040,67,60,1.7164179104477613,173,7
PRV51277,0,141190,10920.0,418830,142430,59,54,1.8644067796610169,144,9
PRV51279,0,59840,750.0,949230,420040,224,186,1.3883928571428572,372,0
PRV51280,0,20250,0.0,65360,118160,39,34,1.3333333333333333,84,0
PRV51281,0,89470,690.0,823980,533480,259,200,1.393822393822394,470,0
PRV51282,0,77330,8624.0,346030,93410,59,51,1.8135593220338984,164,5
PRV51284,0,279860,18058.0,1811610,754710,377,223,1.7135278514588859,627,8
PRV51285,0,196120,16530.0,661040,288620,168,109,1.3869047619047619,345,7
PRV51286,0,145170,16330.0,699750,79780,70,62,1.8,183,11
PRV51287,0,25700,100.0,491210,194440,78,46,1.6282051282051282,174,0
PRV51288,0,37360,3204.0,138470,28070,8,8,3.25,36,2
PRV51289,0,46300,240.0,289900,477920,92,38,3.032608695652174,159,0
PRV51290,0,14990,260.0,410960,112240,113,81,0.9469026548672567,220,0
PRV51292,0,3970,0.0,43500,31750,22,16,3.5454545454545454,39,0
PRV51293,0,21200,20.0,281500,159960,88,64,1.4090909090909092,194,0
PRV51295,0,1950,0.0,23000,9430,7,6,2.857142857142857,16,0
PRV51296,0,38630,3284.0,99350,54610,30,27,2.5,86,1
PRV51297,0,77090,5410.0,340190,240800,70,46,1.1142857142857143,170,5
PRV51298,0,31120,550.0,399140,152390,100,53,1.16,224,0
PRV51299,0,6230,30.0,183930,61040,37,27,2.189189189189189,96,0
PRV51300,0,107540,7636.0,439340,100640,52,32,2.2115384615384617,140,4
PRV51301,0,136910,6718.0,964070,243640,112,63,1.25,244,6
PRV51302,0,80710,10750.0,142340,63830,43,34,0.9534883720930233,130,7
PRV51303,0,36110,510.0,301400,234740,93,49,1.3118279569892473,188,0
PRV51304,0,39350,2306.0,231950,133120,51,39,0.7450980392156863,104,1
PRV51305,0,113400,11748.0,187880,91080,49,29,3.0408163265306123,152,4
PRV51306,0,3700,100.0,116740,22380,17,13,3.411764705882353,37,0
PRV51307,0,6940,80.0,21230,57760,37,21,1.6216216216216217,88,0
PRV51308,0,13790,130.0,117010,72820,35,31,1.5714285714285714,73,0
PRV51309,0,3790,0.0,130500,25810,18,17,0.05555555555555555,43,0
PRV51311,0,16010,3204.0,52150,39720,21,18,3.3333333333333335,52,1
PRV51312,0,28790,4272.0,73220,109240,46,29,2.1739130434782608,109,1
PRV51313,0,4970,90.0,155400,35760,19,16,0.10526315789473684,45,0
PRV51314,0,6460,0.0,23000,61110,30,20,0.8666666666666667,65,0
PRV51315,0,7210,340.0,123400,69630,47,22,1.297872340425532,104,0
PRV51316,0,21000,3204.0,21280,830,3,3,9.333333333333334,27,3
PRV51318,0,13000,3204.0,21120,3490,3,3,3.6666666666666665,21,2
PRV51322,0,850,0.0,13000,28250,12,11,0.08333333333333333,35,0
PRV51323,0,20860,320.0,130800,158530,76,32,0.8947368421052632,128,0
PRV51324,0,9330,0.0,341000,55540,28,25,0.9285714285714286,58,0
PRV51325,0,15140,0.0,1095800,196430,15,5,4.466666666666667,35,0
PRV51326,0,14000,90.0,82000,69570,44,22,2.4545454545454546,130,0
PRV51327,0,8990,150.0,27900,75610,41,27,0.5609756097560976,92,0
PRV51328,0,550,0.0,0,10330,7,5,0.14285714285714285,21,0
PRV51329,0,19360,240.0,164800,138970,74,28,1.5945945945945945,155,0
PRV51330,0,3810,20.0,4000,27440,19,9,1.4210526315789473,44,0
PRV51331,0,320,40.0,20000,3200,5,4,0.0,24,0
PRV51334,0,15000,2136.0,16200,3100,2,2,4.5,16,1
PRV51335,0,46080,400.0,883280,295120,142,92,1.9295774647887325,272,0
PRV51336,0,129450,10700.0,390420,149490,69,69,2.550724637681159,188,8
PRV51337,1,379100,41952.0,1051510,355320,168,155,2.1964285714285716,366,20
PRV51338,1,113860,7926.0,643160,277870,128,124,1.6875,293,4
PRV51340,0,43210,10.0,608080,418170,151,141,1.7417218543046358,285,0
PRV51341,0,14530,70.0,324620,195660,71,70,2.408450704225352,159,0
PRV51342,0,356780,29366.0,1002140,470510,207,179,1.9758454106280192,447,20
PRV51344,0,26250,2136.0,96780,95920,33,33,2.1818181818181817,71,0
PRV51345,0,15120,220.0,276870,153130,49,47,2.4285714285714284,97,0
PRV51346,0,104490,5820.0,1281550,599130,266,246,1.3082706766917294,470,8
PRV51347,1,596900,5090.0,7054440,4691390,2067,947,1.2520561199806484,1863,1
PRV51348,0,152330,20442.0,533310,150890,55,54,4.218181818181818,175,12
PRV51349,0,40480,5410.0,134010,45280,30,28,3.1,89,2
PRV51350,0,213380,23218.0,1007770,617020,239,232,1.493723849372385,452,13
PRV51351,0,10840,0.0,295160,79450,32,32,3.03125,86,0
PRV51352,0,5900,0.0,3000,17260,4,4,6.25,13,0
PRV51353,0,51210,5390.0,115060,22920,18,17,3.3333333333333335,57,7
PRV51354,0,10440,0.0,24000,2030,4,4,9.25,20,2
PRV51355,0,145060,16250.0,452820,118600,74,69,2.175675675675676,176,10
PRV51356,0,187800,17258.0,679610,179100,95,91,1.3157894736842106,204,12
PRV51357,1,205130,12936.0,627250,335500,161,149,1.763975155279503,327,14
PRV51358,0,61210,7536.0,146710,25510,17,17,1.1764705882352942,67,6
PRV51360,0,94230,9762.0,204200,47170,29,29,2.896551724137931,91,9
PRV51361,0,7870,130.0,255580,62770,32,32,0.6875,76,0
PRV51362,0,151320,6408.0,357490,137850,44,44,2.1136363636363638,118,4
PRV51363,0,150,0.0,0,10100,3,3,0.3333333333333333,12,0
PRV51364,0,55830,6508.0,115730,47590,23,23,1.608695652173913,87,5
PRV51366,0,18340,180.0,161610,117840,57,53,0.8596491228070176,116,0
PRV51368,0,570,60.0,0,2370,4,4,3.25,14,0
PRV51369,1,601910,6280.0,8924170,5484960,2083,963,1.5885741718674988,1850,2
PRV51371,0,93130,11798.0,242380,95040,46,45,2.0217391304347827,132,7
PRV51376,0,19420,90.0,151560,138780,51,48,1.8823529411764706,117,0
PRV51377,0,123950,3634.0,563250,232910,95,94,1.5789473684210527,191,3
PRV51378,1,1215370,112180.0,2821020,335940,161,133,4.484472049689441,498,57
PRV51379,0,19340,2156.0,176600,74260,22,22,0.22727272727272727,56,0
PRV51380,0,51560,4272.0,55840,16550,8,8,2.25,41,5
PRV51382,0,6840,90.0,102750,22080,16,16,2.6875,42,0
PRV51383,0,108490,9712.0,459560,193100,77,77,1.7142857142857142,200,3
PRV51386,0,99320,1330.0,2152060,945390,382,274,1.450261780104712,575,0
PRV51387,0,114420,13904.0,291440,193950,59,51,1.2881355932203389,162,10
PRV51388,0,191010,15222.0,508380,263900,86,81,2.4186046511627906,199,8
PRV51389,0,153470,19284.0,381630,122540,79,77,2.3037974683544302,224,12
PRV51390,1,1607260,173186.0,3046830,511920,275,253,4.330909090909091,647,72
PRV51391,0,144400,13086.0,799980,415890,177,166,1.4519774011299436,347,6
PRV51392,0,1660,50.0,120540,24250,17,15,1.7058823529411764,37,0
PRV51393,1,906370,71430.0,3977110,1487570,910,329,1.589010989010989,1161,39
PRV51394,0,460,0.0,0,3960,4,4,0.0,6,0
PRV51395,0,10400,0.0,88400,77530,20,20,2.5,57,0
PRV51396,0,17520,3204.0,137780,80380,44,43,1.75,105,0
PRV51397,0,17870,0.0,243670,65940,40,40,0.75,95,0
PRV51398,0,31040,1238.0,419820,186430,86,59,1.3953488372093024,190,0
PRV51399,1,845070,69448.0,1571350,562210,211,199,2.5165876777251186,475,32
PRV51401,1,91520,7626.0,373160,124250,42,42,3.357142857142857,118,8
PRV51403,0,277010,11150.0,1104550,240790,114,101,1.7719298245614035,235,14
PRV51404,0,29350,1368.0,198630,125090,59,59,1.3220338983050848,139,1
PRV51405,0,23710,2136.0,152180,104230,49,47,0.7959183673469388,109,0
PRV51406,0,104260,7476.0,221140,98740,29,29,3.0,113,5
PRV51408,0,1390,0.0,74720,20890,15,15,0.3333333333333333,28,0
PRV51409,0,300,0.0,0,5240,4,4,0.0,9,0
PRV51410,1,177550,1920.0,2182710,1611650,628,186,1.4426751592356688,826,1
PRV51412,0,440,0.0,19320,5360,5,5,0.0,13,0
PRV51414,0,30230,3204.0,338430,107350,28,28,1.6428571428571428,97,2
PRV51415,0,63690,7546.0,159880,174060,51,50,2.6470588235294117,135,6
PRV51416,0,25640,280.0,301390,208710,81,79,2.6419753086419755,148,0
PRV51418,0,189340,18486.0,489560,110180,61,61,3.4098360655737703,189,14
PRV51419,0,31250,2196.0,362530,118890,65,64,1.7076923076923076,138,1
PRV51421,1,884780,88804.0,1785800,299120,139,135,4.676258992805756,411,45
PRV51422,0,48930,4382.0,278960,105000,25,25,5.8,78,4
PRV51423,0,50,100.0,0,3440,1,1,0.0,5,0
PRV51424,0,29670,1348.0,423160,219930,86,82,1.2674418604651163,165,0
PRV51425,0,25990,3204.0,128380,106360,33,33,1.1515151515151516,97,1
PRV51426,1,145100,6968.0,728740,419490,206,91,1.1359223300970873,379,4
PRV51427,0,58770,5510.0,280370,139470,58,56,1.9137931034482758,140,3
PRV51428,0,48040,4352.0,386900,169860,66,66,1.2121212121212122,167,1
PRV51429,0,1100,0.0,6000,6710,10,10,0.0,22,0
PRV51430,0,213700,17648.0,535020,199670,112,101,1.6517857142857142,250,11
PRV51431,0,236720,25932.0,477430,128750,49,42,5.448979591836735,182,13
PRV51432,0,59270,7616.0,140560,25360,23,23,0.8260869565217391,71,8
PRV51433,1,454630,4670.0,7232490,3679370,1610,862,1.5627329192546584,1597,1
PRV51434,1,280490,24844.0,948050,244230,102,97,1.9411764705882353,277,19
PRV51435,0,33620,6408.0,134530,36880,23,23,1.434782608695652,72,2
PRV51436,0,193410,27170.0,958040,224690,120,116,2.033333333333333,312,14
PRV51437,0,880,0.0,0,5900,2,2,0.0,4,0
PRV51438,0,19510,2136.0,155280,29080,9,9,5.0,30,0
PRV51439,0,15040,210.0,142360,133700,42,41,0.38095238095238093,100,0
PRV51440,0,106380,6508.0,274040,183990,71,71,2.4788732394366195,182,5
PRV51441,0,29130,290.0,284350,215450,85,79,1.8235294117647058,174,0
PRV51442,0,25970,2136.0,27080,23070,6,6,1.3333333333333333,20,0
PRV51443,0,33900,2426.0,238520,263080,73,72,1.6575342465753424,143,2
PRV51444,0,73920,4272.0,188510,104090,42,40,2.6904761904761907,117,4
PRV51446,0,97390,11748.0,232360,35760,24,24,2.6666666666666665,107,13
PRV51447,1,269390,17318.0,712690,180660,89,80,2.202247191011236,231,13
PRV51448,0,115550,11748.0,276900,119270,51,47,1.9019607843137254,140,8
PRV51449,0,69780,8544.0,169640,21850,17,17,3.0,78,6
PRV51451,0,1170,0.0,25040,4110,6,6,6.666666666666667,13,0
PRV51453,0,7080,100.0,27480,47850,12,12,0.6666666666666666,29,0
PRV51454,0,10630,140.0,136010,125010,34,32,2.735294117647059,74,0
PRV51455,0,113650,9662.0,356040,63960,34,34,2.5588235294117645,109,7
PRV51456,0,1038990,117480.0,1933710,164250,135,124,4.940740740740741,427,55
PRV51458,0,12440,240.0,106570,86730,56,55,0.16071428571428573,113,0
PRV51459,1,2321890,22790.0,33978430,19098210,8240,2857,1.4007281553398059,3859,6
PRV51460,0,334480,19346.0,2036670,943370,452,413,1.3539823008849559,661,12
PRV51462,0,9430,0.0,165180,67950,30,29,1.2333333333333334,68,0
PRV51464,0,38530,320.0,649570,264160,145,143,0.8482758620689655,241,0
PRV51465,0,3900,1068.0,53000,12150,7,7,3.0,26,0
